Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
3032,85,1211,317,2,2,15417,82615,3,1,43.0,7.0,5.0,6.0,116.0,1.0,8.0,8.0,23.0,0.0,7371.0,16910.0,77081.0,72491.0,52185.0,12424.0,54193.0,56643.0,52872.0,50549.0,4480.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4,1,17677.0,6938.0,8.0,5.0,47.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.0,114.0,22.0,0,0,0,0,0,0,3,42,0,7,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3962,85,774,318,2,2,5989,11844,0,2,0.0,78.0,1.0,1.0,1.0,1.0,64.0,23.0,116.0,41.0,79870.0,76752.0,18598.0,0.0,32395.0,15390.0,1.0,1.0,0.0,0.0,0.0,11617.0,18789.0,0.0,11789.0,11878.0,0,0,0,0,0,2,0.0,77529.0,23.0,65.0,350.0,566.0,650.0,0,0,0,0,0,0,0,0,0.0,405.0,0.0,113.0,0,0,0,0,0,0,0,0,1,78,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1595,85,1207,175,10,2,4729,26937,3,1,512.0,164.0,152.0,56.0,3948.0,1.0,176.0,67.0,4303.0,0.0,91747.0,61555.0,33596.0,23905.0,19822.0,28908.0,10956.0,19223.0,17713.0,16211.0,5.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,4,1,62239.0,51113.0,50.0,158.0,7435.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,6125.0,3255.0,3484.0,0,0,0,0,0,0,3,511,0,163,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1225,85,948,161,12,2,36032,20308,3,1,37.0,6.0,4.0,5.0,111.0,1.0,7.0,5.0,21.0,0.0,50631.0,67284.0,26570.0,17168.0,4288.0,2.0,2908.0,12189.0,11368.0,10446.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4,1,68071.0,62818.0,5.0,4.0,43.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,42.0,109.0,20.0,0,0,0,0,0,0,3,36,0,6,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3542,85,211,318,7,1,4113,46745,13,17,368.0,565.0,133.0,1.0,614.0,853.0,229.0,0.0,1157.0,3819.0,66565.0,50419.0,43622.0,32984.0,16913.0,12763.0,26246.0,33626.0,31422.0,30283.0,45.0,29461.0,3333.0,16791.0,28498.0,2.0,0,0,0,1,59,81,46271.0,53003.0,0.0,215.0,1631.0,1908.0,2100.0,0,1,0,0,0,0,0,0,1.0,1325.0,556.0,986.0,0,0,0,0,0,0,13,367,16,564,0,45,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1466,85,609,175,10,2,1009,29895,3,1,512.0,164.0,152.0,56.0,3948.0,1.0,176.0,67.0,4303.0,0.0,88281.0,59047.0,36222.0,26074.0,26083.0,12763.0,14749.0,21859.0,19684.0,18144.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4,1,59798.0,48531.0,50.0,158.0,7435.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,6125.0,3255.0,3484.0,0,0,0,0,0,0,3,511,0,163,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2174,85,101,317,2,2,36630,79779,3,1,62.0,14.0,12.0,13.0,171.0,1.0,15.0,15.0,34.0,0.0,23022.0,19547.0,74553.0,79360.0,52377.0,9365.0,54180.0,56631.0,53266.0,50740.0,4277.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4,1,20205.0,9774.0,15.0,12.0,111.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,118.0,169.0,33.0,0,0,0,0,0,0,3,61,0,14,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4762,191,0,283,0,0,39181,66527,25,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,36621.0,56847.0,52003.0,40985.0,2.0,48948.0,35935.0,36996.0,42399.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,43042.0,23146.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2680,85,794,317,2,2,11130,82887,3,1,62.0,14.0,12.0,13.0,171.0,1.0,15.0,15.0,34.0,0.0,22601.0,16639.0,77352.0,74227.0,52421.0,12578.0,54316.0,56766.0,53219.0,50784.0,4368.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,4,1,17406.0,6666.0,15.0,12.0,111.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,118.0,169.0,33.0,0,0,0,0,0,0,3,61,0,14,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4171,85,1006,318,2,2,8172,1308,0,2,0.0,40.0,1.0,1.0,1.0,1.0,35.0,8.0,49.0,9.0,90293.0,92088.0,3988.0,0.0,66946.0,29444.0,1.0,1.0,0.0,0.0,0.0,1109.0,27197.0,0.0,1069.0,1274.0,0,0,0,0,0,2,0.0,89671.0,8.0,33.0,150.0,304.0,316.0,0,0,0,0,0,0,0,0,0.0,239.0,0.0,48.0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3543,85,212,318,7,1,311,9573,1,2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,85747.0,9415.0,4944.0,23631.0,28979.0,1.0,1.0,0.0,0.0,0.0,9274.0,15175.0,0.0,9429.0,9538.0,1,0,0,1,3,8,74954.0,80265.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3350,85,1591,317,2,2,39256,82765,3,1,77.0,20.0,18.0,19.0,221.0,1.0,21.0,21.0,44.0,0.0,30862.0,16760.0,77231.0,74931.0,52438.0,12213.0,54552.0,57002.0,53017.0,50801.0,4587.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4,1,17527.0,6788.0,21.0,18.0,170.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,187.0,217.0,43.0,0,0,0,0,0,0,3,76,0,20,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3840,85,609,318,2,2,3637,13586,0,2,0.0,52.0,1.0,1.0,1.0,1.0,49.0,14.0,73.0,28.0,67292.49777,74468.48497,29638.63108,0.0,46283.24893,22274.72532,1.0,1.0,0.0,0.0,0.0,13526.45065,23745.55366,0.0,13567.86266,13561.59657,0,0,0,0,0,2,0.0,73775.45492,14.0,48.0,216.0,474.0,554.0,0,0,0,0,0,0,0,0,0.0,345.0,0.0,71.0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1229,85,1001,161,12,2,4484,22928,3,1,34.0,5.0,3.0,4.0,108.0,1.0,6.0,4.0,19.0,0.0,45909.0,64645.0,29297.0,20727.0,7352.0,2.0,5689.0,14811.0,13993.0,12999.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4,1,65412.0,60088.0,4.0,3.0,39.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,39.0,106.0,18.0,0,0,0,0,0,0,3,33,0,5,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
442,85,212,105,7,1,2233,38713,7,9,230.0,364.0,133.0,1.0,559.0,1068.0,229.0,0.0,4041.0,6102.0,64147.0,45952.0,47844.0,41748.0,19733.0,2.0,14700.0,41585.0,38327.0,31488.0,13.0,15851.0,8971.0,4117.0,14899.0,1.0,1,0,0,1,30,45,38403.0,46683.0,0.0,215.0,3596.0,8293.0,8543.0,0,1,0,0,0,0,0,0,1.0,3446.0,513.0,3307.0,0,0,0,0,0,0,7,229,8,363,0,39,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1285,85,1620,161,12,2,14422,21973,3,1,37.0,6.0,4.0,5.0,111.0,1.0,7.0,5.0,21.0,0.0,48837.0,65606.0,28309.0,19452.0,6261.0,1.0,4673.0,13855.0,13030.0,12073.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4,1,66380.0,61090.0,5.0,4.0,43.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,42.0,109.0,20.0,0,0,0,0,0,0,3,36,0,6,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4758,85,6,132,5,2,1641,87616,52,1,1363.0,33.0,34.0,28.0,413.0,101.0,39.0,35.0,92.0,0.0,38130.0,31969.0,61143.0,82099.0,8414.0,1.0,17567.0,43540.0,56267.0,58098.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,95,1,34319.0,2124.0,30.0,38.0,345.0,140.0,145.0,0,0,0,0,0,0,0,0,0.0,316.0,390.0,89.0,0,0,0,0,0,0,52,1362,0,33,0,0,51,0,2321.0,0.0,1987.0,2036.0,1183.0,0.0,1157.0,1594.0,0
1463,85,581,175,10,2,16474,14782,3,1,567.0,166.0,156.0,58.0,3951.0,1.0,178.0,68.0,4580.0,0.0,101531.0,73726.0,20549.0,9690.0,72342.0,12763.0,58322.0,6171.0,5535.0,3652.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4,1,73889.0,69405.0,51.0,160.0,7457.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,6150.0,3258.0,3673.0,0,0,0,0,0,0,3,566,0,165,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1673,85,1520,175,10,2,20858,26905,3,1,512.0,164.0,152.0,56.0,3948.0,1.0,176.0,67.0,4303.0,0.0,91781.0,61586.0,33566.0,23888.0,19793.0,24494.0,10936.0,19203.0,17691.0,16189.0,4.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4,1,62270.0,51146.0,50.0,158.0,7435.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,6125.0,3255.0,3484.0,0,0,0,0,0,0,3,511,0,163,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3709,85,458,318,2,2,10287,2048,0,2,0.0,61.0,1.0,1.0,1.0,1.0,59.0,8.0,86.0,43.0,95444.0,91247.0,5218.0,0.0,69123.0,30297.0,1.0,1.0,0.0,0.0,0.0,1849.0,28674.0,0.0,1809.0,2016.0,0,0,0,0,0,2,0.0,88898.0,8.0,58.0,233.0,569.0,653.0,0,0,0,0,0,0,0,0,0.0,354.0,0.0,83.0,0,0,0,0,0,0,0,0,1,61,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3539,193,9,131,105,1,37729,214,0,2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,93793.0,582.0,0.0,31738.0,15245.0,1.0,1.0,0.0,0.0,0.0,184.0,18525.0,0.0,187.0,214.0,0,0,0,0,0,6,0.0,91048.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3275,85,1501,317,2,2,15770,78041,3,1,59.0,13.0,11.0,12.0,160.0,1.0,14.0,14.0,33.0,0.0,21663.0,21181.0,72993.0,66039.0,49528.0,12027.0,52257.0,54884.0,50058.0,48236.0,4528.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4,1,21765.0,11512.0,14.0,11.0,97.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,106.0,158.0,32.0,0,0,0,0,0,0,3,58,0,13,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3538,193,9,131,104,1,3554,432,0,6,0.0,233.0,1.0,1.0,1.0,1.0,229.0,0.0,226.0,4900.0,107628.0,93934.0,324.0,434.0,39822.0,5.0,1.0,1.0,0.0,0.0,0.0,402.0,31782.0,248.0,227.0,10.0,0,0,0,0,0,24,0.0,91162.0,0.0,215.0,4972.0,8674.0,8936.0,0,0,0,0,1,0,0,0,0.0,5297.0,0.0,222.0,0,0,0,0,0,0,0,0,5,232,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1267,85,1441,161,12,2,7470,22125,3,1,34.0,5.0,3.0,4.0,108.0,1.0,6.0,4.0,19.0,0.0,46533.0,65456.0,28468.0,19648.0,6436.0,2.0,4846.0,14008.0,13180.0,12217.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,4,1,66225.0,60932.0,4.0,3.0,39.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,39.0,106.0,18.0,0,0,0,0,0,0,3,33,0,5,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1475,85,625,175,10,2,23349,60341,7,1,2311.0,212.0,184.0,74.0,3987.0,9.0,205.0,77.0,5116.0,0.0,56505.0,29283.0,64810.0,84417.0,57245.0,12763.0,46316.0,49252.0,56622.0,55141.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,10,1,29911.0,29344.0,62.0,190.0,7668.0,12.0,13.0,0,0,0,0,0,0,0,0,0.0,6273.0,3294.0,4097.0,0,0,0,0,0,0,7,2310,0,211,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3962,85,774,318,2,2,34032,8069,0,2,0.0,52.0,1.0,1.0,1.0,1.0,49.0,14.0,73.0,28.0,79689.0,81336.0,14311.0,0.0,20372.0,4443.0,1.0,1.0,0.0,0.0,0.0,7805.0,12303.0,0.0,7953.0,8059.0,0,0,0,0,0,2,0.0,82156.0,14.0,48.0,216.0,474.0,554.0,0,0,0,0,0,0,0,0,0.0,345.0,0.0,71.0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3044,85,1228,317,2,2,16466,57932,2,1,33.0,14.0,12.0,13.0,171.0,1.0,15.0,15.0,34.0,0.0,33957.52016,26550.54703,67973.94625,1074.91243,28134.5716,12185.38646,15945.19926,51212.26645,0.0,33974.2127,4564.291017,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,1,26908.05375,31726.08063,15.0,12.0,111.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.0,169.0,33.0,0,0,0,0,0,0,2,32,0,14,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4759,85,7,132,6,2,36143,58889,3,1,237.0,103.0,73.0,44.0,3185.0,50.0,105.0,46.0,216.0,0.0,38542.0,27117.0,66895.0,86790.0,56704.0,2.0,44718.0,51503.0,58765.0,54700.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,4,1,27972.0,30782.0,45.0,105.0,623.0,74.0,78.0,0,0,0,0,0,0,0,0,0.0,1035.0,2632.0,212.0,0,0,0,0,0,0,3,236,0,102,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1162,85,0,159,0,0,11633,55822,21,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,41577.0,52518.0,34847.0,14132.0,1.0,35945.0,29618.0,26106.0,29326.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,50031.0,33755.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2194,85,153,317,2,2,16627,1721,0,2,0.0,40.0,1.0,1.0,1.0,1.0,35.0,8.0,49.0,9.0,89238.0,91624.0,4636.0,0.0,67861.0,29922.0,1.0,1.0,0.0,0.0,0.0,1522.0,27986.0,0.0,1482.0,1688.0,1,0,0,1,0,2,0.0,89238.0,8.0,33.0,150.0,304.0,316.0,0,0,0,0,0,0,0,0,0.0,239.0,0.0,48.0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2948,85,1106,317,2,2,33677,79475,3,1,66.0,16.0,14.0,15.0,189.0,1.0,17.0,17.0,38.0,0.0,24873.0,19809.0,74311.0,79329.0,51630.0,9091.0,53652.0,56107.0,52305.0,49997.0,4496.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4,1,20447.0,10078.0,17.0,14.0,134.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,138.0,187.0,37.0,0,0,0,0,0,0,3,65,0,16,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3336,85,1575,317,2,2,21528,81947,3,1,59.0,13.0,11.0,12.0,160.0,1.0,14.0,14.0,33.0,0.0,21141.0,17577.0,76414.0,72327.0,51944.0,12405.0,53512.0,55967.0,53076.0,50311.0,4038.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4,1,18344.0,7606.0,14.0,11.0,97.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,106.0,158.0,32.0,0,0,0,0,0,0,3,58,0,13,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3536,85,205,318,7,1,15063,54854,13,21,425.0,567.0,161.0,1.0,895.0,1121.0,229.0,0.0,563.0,1489.0,61628.0,48129.0,45831.0,41558.0,35215.0,2.0,34806.0,40190.0,39291.0,37569.0,47.0,29960.0,5347.0,18159.0,29962.0,1.0,0,0,0,0,56,96,39614.0,52878.0,0.0,215.0,1263.0,1504.0,1664.0,0,1,0,0,0,0,0,0,1.0,1066.0,786.0,484.0,0,0,0,0,0,0,13,424,20,566,0,48,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4406,85,1280,318,2,2,33640,71585,2,1,32.0,13.0,11.0,12.0,160.0,1.0,14.0,14.0,33.0,0.0,11902.0,10633.0,84100.0,57232.0,51677.0,19503.0,40830.0,62687.0,0.0,50044.0,10475.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,1,10744.0,18071.0,14.0,11.0,97.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,130.0,158.0,32.0,0,0,0,0,0,0,2,31,0,13,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
